ts_code,stock_name,industry,trade_date,total_mv,pe_ttm,pb,dv,tier_score,tier_rating,total_mv_yi
601818.SH,光大银行,银行,2022-06-30,16263608.3083,3.7266,0.4391,13.6545,100.0,金龟,1626.36
600015.SH,华夏银行,银行,2022-06-30,8016743.6951,3.3675,0.3379,12.2649,100.0,金龟,801.67
600782.SH,新钢股份,普钢,2022-06-30,1607116.2388,3.6493,0.6096,9.7316,96.7,金龟,160.71
601825.SH,沪农商行,银行,2022-06-30,6047066.667,5.8153,0.6446,8.9314,95.7,金龟,604.71
002110.SZ,三钢闽光,普钢,2022-06-30,1493009.9289,4.1617,0.6876,13.3411,94.4,金龟,149.3
600028.SH,中国石化,石油加工,2022-06-30,49397053.5356,6.5095,0.6527,11.5196,93.7,金龟,4939.71
600019.SH,宝钢股份,普钢,2022-06-30,13405583.7531,6.092,0.7085,9.836,93.4,金龟,1340.56
000825.SZ,太钢不锈,特种钢,2022-06-30,3124363.8988,5.4653,0.8647,11.7777,89.1,银龟,312.44
600755.SH,厦门国贸,仓储物流,2022-06-30,1650737.0678,4.7368,0.8725,12.1066,88.8,银龟,165.07
600325.SH,华发股份,区域地产,2022-06-30,1602690.9648,4.7814,0.9646,12.0212,86.1,银龟,160.27
601155.SH,新城控股,区域地产,2022-06-30,5756299.5515,4.5809,0.9623,8.0492,86.1,银龟,575.63
600177.SH,雅戈尔,服饰,2022-06-30,3068962.6711,4.6102,0.8971,7.5327,85.0,银龟,306.9
601000.SH,唐山港,港口,2022-06-30,1528889.5824,7.5996,0.8607,13.5659,83.8,银龟,152.89
600350.SH,山东高速,路桥,2022-06-30,2525862.0749,7.9669,0.9126,14.8571,81.1,银龟,252.59
600373.SH,中文传媒,出版业,2022-06-30,1353708.6553,6.5835,0.8504,6.8068,79.6,银龟,135.37
601006.SH,大秦铁路,铁路,2022-06-30,9797299.3581,8.5011,0.789,7.2837,78.2,银龟,979.73
000581.SZ,威孚高科,汽车配件,2022-06-30,1941669.6723,7.9242,1.0475,8.2819,77.2,铜龟,194.17
002233.SZ,塔牌集团,水泥,2022-06-30,1055163.3892,6.8641,0.9425,6.9969,77.2,银龟,105.52
600585.SH,海螺水泥,水泥,2022-06-30,18695939.4987,5.7733,1.0644,6.746,74.7,铜龟,1869.59
601668.SH,中国建筑,建筑工程,2022-06-30,22312536.905,4.1849,0.663,4.6992,73.1,铜龟,2231.25
600390.SH,五矿资本,多元金融,2022-06-30,2199554.0095,7.7911,0.5509,5.0716,73.0,银龟,219.96
600997.SH,开滦股份,焦炭加工,2022-06-30,1209903.4865,6.7286,0.9049,6.0367,72.3,银龟,120.99
000402.SZ,金融街,全国地产,2022-06-30,1778413.2947,8.8038,0.4671,5.042,70.9,银龟,177.84
600606.SH,绿地控股,全国地产,2022-06-30,5059518.5932,10.5566,0.5462,6.0125,70.2,铜龟,505.95
600746.SH,江苏索普,化工原料,2022-06-30,1352362.0597,5.9734,2.5084,8.6356,70.0,不达标,135.24
600507.SH,方大特钢,特种钢,2022-06-30,1629931.8509,5.9914,1.9952,15.8798,70.0,不达标,162.99
