end_date,eps,加权每股收益(元),每股收益_调整后(元),扣除非经常性损益后的每股收益(元),bps,每股净资产_调整后(元),cfps,每股资本公积金(元),每股未分配利润(元),调整后的每股净资产(元),roa,主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),netprofit_margin,股本报酬率(%),净资产报酬率(%),资产报酬率(%),grossprofit_margin,三项费用比重,非主营比重,主营利润比重,股息发放率(%),投资收益率(%),主营业务利润(元),roe,加权净资产收益率(%),扣除非经常性损益后的净利润(元),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),股东权益周转率(次),current_ratio,quick_ratio,现金比率(%),利息支付倍数,长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),debt_to_assets,总资产(元),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%),短期股票投资(元),短期债券投资(元),短期其它经营性投资(元),长期股票投资(元),长期债券投资(元),长期其它经营性投资(元),1年以内应收帐款(元),1-2年以内应收帐款(元),2-3年以内应收帐款(元),3年以内应收帐款(元),1年以内预付货款(元),1-2年以内预付货款(元),2-3年以内预付货款(元),3年以内预付货款(元),1年以内其它应收款(元),1-2年以内其它应收款(元),2-3年以内其它应收款(元),3年以内其它应收款(元),ts_code,ann_date
2018-03-31,0.1818,0.17,0.17,,4.5063,4.25,-0.3631,0.3041,1.8405,,0.2728,,0.2766,177.0328,,,,18.1777,4.0338,0.2728,45.0281,,7.1342,-1.71,,,-1220000000,4.02,4.305,58536000000,,5.8463,7.1434,6.4705,,,,,,,,,,,,,,,,6.7638,,,1378.4537,,,,1478.4537,0,,,93.2362,21639047000000,,-0.0055,-1.9976,-0.0058,,,,,230000000,,,,,,,,,,,,,,,601288.SH,2018-03-31
2018-06-30,0.3571,0.35,0.35,0.35,4.8329,4.24,-0.6818,0.5344,1.8106,,0.5291,,0.5397,167.825,,,,71.1315,14.7181,1.0539,45.9974,,6.8576,-1.8693,0.1096,,-2646000000,7.4,8.36,115507000000,,6.7231,15.5524,6.5485,,,,,,,,,,,,,,,,7.1608,,1039.2202,1296.4896,,,56.7628,1396.4896,0,,0.6891,92.8392,21920851000000,,-0.0101,-1.9095,-0.0109,,,,,1948000000,,,,,,,,,,,,,,,601288.SH,2018-06-30
2018-09-30,0.4909,0.51,0.51,,4.6713,4.43,0.3211,0.4959,1.84,,0.7568,,0.7853,162.5128,,,,49.0892,10.5087,0.7568,45.6185,,3.5734,-1.8419,0.074,,-3869000000,10.53,11.955,171290000000,,7.2823,16.0007,8.494,,,,,,,,,,,,,,,,7.202,,,1288.5112,,,,1388.5112,0,,,92.798,22700325000000,,0.005,0.6542,0.0053,,,,,4006000000,,,,,,,,,,,,,,,601288.SH,2018-09-30
2018-12-31,0.579,0.59,0.59,0.59,4.7853,4.54,0.3027,0.4959,1.8656,,0.8962,,0.9282,130.7194,,,,91.7782,19.179,1.4207,41.801,,7.704,-2.1178,,,-5330000000,12.14,13.66,202291000000,,4.9179,17.1674,7.3912,,,,,,,,,,,,,,,,7.4075,,1096.402,1249.9908,,,56.2979,1349.9908,0,,0.6756,92.5925,22609471000000,,0.0047,0.5228,0.0051,,,,,4005000000,,,,,,,,,,,,,,,601288.SH,2018-12-31
2019-03-31,0.1775,0.17,0.17,,4.9646,4.72,0.754,0.4959,2.0339,,0.2626,,0.2685,180.6445,,,,17.7497,3.5753,0.2626,42.9166,,5.9761,-1.7719,,,-1323000000,3.54,3.74,61144000000,,5.2185,18.713,9.3298,,,,,,,,,,,,,,,,7.3443,,,1261.5955,,,,1361.5955,0,,,92.6557,23657926000000,,0.0112,4.2477,0.012,,,,,4051000000,,,,,,,,,,,,,,,601288.SH,2019-03-31
2019-06-30,0.3497,0.34,0.34,0.34,4.9663,4.72,-0.03,0.4959,1.9241,,0.5104,,0.5254,169.6741,,,,70.154,14.1259,1.0241,44.8723,,4.4062,-1.8874,0.0063,,-2753000000,7.01,7.285,121228000000,,5.5149,10.7296,9.3715,,,,,,,,,,,,,,,,7.2497,,1172.3006,1279.3608,,,54.626,1379.3608,0,,0.6184,92.7503,23975153000000,,-0.0004,-0.0859,-0.0005,,,,,4962000000,4756098000000.0,,,,,,,,,,,,,,601288.SH,2019-06-30
2019-09-30,0.5194,0.51,0.51,,5.4959,4.91,0.2918,0.4959,2.0933,,0.7309,,0.7658,163.7213,,,,51.9428,9.4512,0.7309,,,4.8739,-1.8489,,,-4018000000,9.42,10.76,180256000000,,5.813,17.6523,9.5621,,,,,,,,,,,,,,,,7.7338,,,1193.0324,,,,1293.0324,0,,,92.2662,24870961000000,,0.0041,0.5618,0.0045,,,,,5904000000,,,,,,,,,,,,,,,601288.SH,2019-09-30
2019-12-31,0.6084,0.59,0.59,0.59,5.5996,5.0,1.0074,0.4959,2.1175,,0.8559,,0.8968,135.3782,,,,96.6878,17.2669,1.3602,,,6.0433,-2.1337,,,-5688000000,10.89,12.43,211649000000,,5.0797,17.0156,10.0348,,,,,,,,,,,,,,,,7.8774,,1282.5751,1169.4546,,,54.9111,1269.4546,0,,0.6142,92.1226,24878288000000,,0.0142,1.6559,0.0154,,,,,6672000000,,,,,,,,,,,,,,,601288.SH,2019-12-31
2020-03-31,0.1839,0.18,0.18,,5.8084,5.2,0.7502,0.4959,2.2942,,0.2454,,0.2519,185.8108,,,,18.3909,3.1663,0.2454,,,-0.0233,-1.6342,,,-1330000000,3.18,3.5625,64119000000,,3.6123,16.9968,10.8567,,,,,,,,,,,,,,,,7.7511,,,1190.1373,,,,1290.1373,0,,,92.2489,26226388000000,,0.01,4.0793,0.0109,,,,,6651000000,,,,,,,,,,,,,,,601288.SH,2020-03-31
2020-06-30,0.312,0.3,0.3,0.3,5.9803,5.14,-0.9256,0.4959,2.1406,,0.4125,,0.4253,153.6852,,,,68.0836,11.3846,0.9001,,,-2.648,-2.0331,0.583,,-2695000000,5.23,5.97,108771000000,,-10.7721,20.4169,10.4148,,,,,,,,,,,,,,,,7.9065,,1408.8644,1164.788,,,53.506,1264.788,0,,0.5612,92.0935,26472127000000,,-0.0122,-2.9668,-0.0133,,,,,7557000000,,,,,,,,,,,,,,,601288.SH,2020-06-30
