trade_date,open,high,low,close,volume
2025-12-15,4550.003,4595.046,4548.438,4552.06,16758996700
2025-12-16,4542.423,4553.081,4484.27,4497.555,16516520100
2025-12-17,4499.773,4594.656,4498.93,4579.875,17842483000
2025-12-18,4553.979,4571.968,4544.142,4552.793,15168132800
2025-12-19,4561.373,4591.093,4546.847,4568.178,15487622000
2025-12-22,4587.668,4615.872,4587.668,4611.624,16525285600
2025-12-23,4616.026,4644.535,4607.799,4620.734,16925641200
2025-12-24,4623.683,4639.428,4602.144,4634.059,15371124100
2025-12-25,4629.32,4651.154,4621.921,4642.536,13943418600
2025-12-26,4639.79,4676.131,4635.105,4657.24,17539656500
2025-12-29,4658.265,4672.035,4629.057,4639.372,20039713300
2025-12-30,4617.316,4664.331,4616.632,4651.282,18037497400
2025-12-31,4656.48,4667.047,4622.099,4629.94,17076022400
2026-01-05,4661.616,4721.638,4661.616,4717.746,23414483900
2026-01-06,4719.209,4790.694,4718.01,4790.694,29697068600
2026-01-07,4796.934,4802.603,4751.071,4776.666,25909556400
2026-01-08,4761.011,4765.486,4717.009,4737.654,23880495700
2026-01-09,4725.957,4771.428,4719.134,4758.922,25468803800
2026-01-12,4769.65,4795.933,4737.57,4789.916,29483316500
2026-01-13,4798.049,4836.955,4745.515,4761.032,30144949700
2026-01-14,4767.696,4818.101,4720.246,4741.931,36495102300
2026-01-15,4721.797,4769.548,4720.937,4751.429,25400363600
2026-01-16,4778.43,4792.551,4715.365,4731.873,32527892900
2026-01-19,4720.195,4761.632,4715.087,4734.456,26761249200
2026-01-20,4736.91,4748.23,4684.968,4718.878,28271957900
2026-01-21,4714.554,4758.279,4714.237,4723.069,26635333200
2026-01-22,4741.755,4757.764,4700.448,4723.709,27419993200
2026-01-23,4729.585,4734.794,4684.617,4702.497,31463544500
2026-01-26,4715.375,4754.178,4693.158,4706.964,36300448100
2026-01-27,4705.174,4736.986,4675.641,4705.692,30147569700
2026-01-28,4725.601,4739.626,4697.906,4717.991,38225560200
2026-01-29,4733.088,4770.96,4696.054,4753.87,41551305500
2026-01-30,4723.081,4738.871,4645.471,4706.34,31978653100
2026-02-02,4674.276,4716.607,4601.76,4605.98,30477350000
2026-02-03,4648.357,4662.126,4578.209,4660.107,26554940500
2026-02-04,4647.967,4701.477,4641.842,4698.683,26488103200
2026-02-05,4664.748,4687.021,4639.43,4670.419,23785635100
2026-02-06,4622.975,4678.262,4606.638,4643.596,20271647700
2026-02-09,4693.672,4719.964,4679.904,4719.056,20725193800
2026-02-10,4718.255,4732.087,4713.868,4724.296,18700095800
2026-02-11,4715.67,4723.704,4703.687,4713.819,17339168100
2026-02-12,4720.009,4726.043,4707.736,4719.578,19784143900
2026-02-13,4693.411,4703.633,4658.404,4660.406,18916775600
2026-02-24,4727.296,4727.373,4698.349,4707.544,21848889000
2026-02-25,4713.575,4766.559,4713.344,4735.886,28426835400
2026-02-26,4741.39,4742.148,4706.694,4726.874,23484764400
2026-02-27,4698.3,4721.014,4692.891,4710.647,26142086500
2026-03-02,4681.014,4735.406,4667.275,4728.669,34926075200
2026-03-03,4737.316,4744.599,4651.405,4655.896,37062427200
2026-03-04,4609.192,4639.42,4575.825,4602.625,30303566600
2026-03-05,4651.942,4671.527,4630.302,4647.692,25931782500
2026-03-06,4621.494,4671.713,4612.794,4660.439,23852792600
2026-03-09,4600.254,4625.981,4548.969,4615.455,32278761700
2026-03-10,4648.785,4677.596,4648.785,4674.756,26390374800
2026-03-11,4681.032,4711.867,4674.709,4704.496,27017544300
2026-03-12,4700.721,4704.379,4654.315,4687.56,30298681600
2026-03-13,4669.062,4707.419,4659.498,4669.14,31077200900
2026-03-16,4669.224,4673.693,4621.812,4671.559,29621507000
2026-03-17,4685.57,4720.861,4637.368,4637.439,26302191300
2026-03-18,4648.752,4662.294,4604.516,4658.332,23469070500
