序号,industry,pct_chg,总成交量,amount,net_inflow,up_count,down_count,均价,领涨股,领涨股-最新价,领涨股-涨跌幅
1,通信服务,5.6,2231.17,376.35,37.44,41,2,16.87,世纪恒通,39.79,19.99
2,元件,3.35,1569.71,834.84,48.28,56,4,53.18,金禄电子,36.54,10.73
3,通信设备,3.21,1853.99,1232.52,147.09,82,7,66.48,菲菱科思,127.94,20.0
4,IT服务,2.87,3089.89,612.79,60.4,122,5,19.83,东方国信,15.65,16.36
5,半导体,2.86,2085.94,1694.96,91.21,163,9,81.26,联动科技,150.26,12.81
6,其他电子,2.83,825.12,261.54,25.16,30,4,31.7,香农芯创,169.99,10.63
7,军工电子,2.4,1107.97,308.95,33.26,55,5,27.88,泰豪科技,15.44,9.97
8,光学光电子,2.24,3505.0,356.43,6.94,91,14,10.17,艾比森,20.02,13.43
9,计算机设备,2.21,1092.33,293.88,33.2,72,11,26.9,同有科技,24.83,20.01
10,软件开发,2.19,1900.62,479.94,25.66,125,12,25.25,网达软件,20.08,10.03
11,其他社会服务,2.12,345.72,66.69,3.18,30,8,19.29,西测测试,131.21,20.0
12,电网设备,1.96,4002.96,649.27,-2.84,120,19,16.22,扬电科技,32.73,10.28
13,消费电子,1.88,1708.36,479.35,25.1,78,18,28.06,可川科技,63.49,10.0
14,其他电源设备,1.87,876.64,225.98,13.69,28,5,25.78,科华数据,66.5,7.41
15,电子化学品,1.79,795.69,175.36,3.7,35,7,22.04,海星股份,32.99,10.0
16,生物制品,1.7,384.95,97.05,2.12,38,14,25.21,欧林生物,31.18,15.05
17,包装印刷,1.68,871.46,131.16,9.89,35,11,15.05,大胜达,11.06,10.05
18,电机,1.63,223.36,45.17,-0.15,20,5,20.23,八方股份,36.67,9.99
19,通用设备,1.62,3404.89,523.08,20.3,206,42,15.36,春晖智控,32.18,11.2
20,金属新材料,1.55,287.39,70.38,1.54,27,4,24.49,族兴新材,35.3,405.73
21,专用设备,1.52,2291.66,438.77,25.48,142,52,19.15,深科达,50.15,20.0
22,文化传媒,1.5,1541.77,184.63,8.41,75,8,11.97,卓创资讯,69.55,7.51
23,环保设备,1.44,302.06,40.84,-0.32,21,6,13.52,恒誉环保,56.35,7.54
24,自动化设备,1.42,659.49,342.41,15.37,70,21,51.92,劲拓股份,25.56,7.12
25,医疗器械,1.33,1025.11,203.01,4.72,106,29,19.8,九安医疗,59.95,10.0
26,互联网电商,1.24,393.1,37.15,0.92,15,4,9.45,行云科技,11.01,5.87
27,电力,1.18,10347.7,718.46,-51.4,70,31,6.94,珈伟新能,6.01,14.26
28,厨卫电器,1.16,96.86,11.93,-0.65,5,4,12.32,亿田智能,40.64,5.78
29,军工装备,1.15,1392.18,445.77,23.9,55,25,32.02,广联航空,41.59,13.63
30,塑料制品,1.14,990.01,162.09,3.87,59,19,16.37,美新科技,26.32,11.15
31,教育,1.1,202.32,13.72,-0.09,12,3,6.78,华图山鼎,66.9,2.96
32,轨交设备,1.04,359.47,29.53,-1.32,22,6,8.22,朗进科技,31.46,4.8
33,白色家电,1.02,540.49,129.84,5.35,28,13,24.02,金海高科,17.42,9.97
34,汽车零部件,1.02,2996.95,512.82,9.9,194,66,17.11,奥福科技,27.01,10.24
35,黑色家电,0.98,238.88,26.72,-1.15,6,2,11.18,*ST高斯,13.38,2.14
36,环境治理,0.92,1891.07,166.54,-1.36,72,35,8.81,京源环保,9.59,15.26
37,医疗服务,0.92,657.16,130.07,-0.15,39,14,19.79,益诺思,58.52,5.73
38,游戏,0.88,590.72,98.95,2.03,16,6,16.75,浙数文化,13.11,3.56
39,纺织制造,0.87,271.16,24.74,-0.3,23,9,9.12,华升股份,8.47,3.54
