关键词,title,content,datetime,source,url
601288,农业银行：150亿美元中期票据发行计划预计3月16日生效,农业银行（601288/01288）发布公告，已向香港联合交易所有限公司申请150亿美元中期票据发行计划上市。该计划允许公司自2026年3月13日起的十二个月内向专业投资者发行票据，预计上市将于2026年3月16日开始生效。,2026-03-13 17:58:18,财中社,http://finance.eastmoney.com/a/202603133671626779.html
601288,中信证券突遭廉署搜查后 通往“国际一流”的路还有多远？,2010年农业银行（601288）H股IPO的丢单成为压垮骆驼的最后一根稻草——中信证券跟进了数年，却在最后的选秀中无缘“A+H”主承销商，只入选A股主承销团，而中金公司（601995）成为了唯一的“双料王”。,2026-03-18 14:35:26,财中社,http://finance.eastmoney.com/a/202603183675869556.html
601288,银行板块表现亮眼,三是建议关注有望受益于特别国债资本补充，且兼具低估值、高股息、经营稳健的农业银行（601288）、工商银行（601398）、中国银行（601988）和建设银行（601939）。,2026-03-12 16:47:54,上游新闻,http://finance.eastmoney.com/a/202603123670183185.html
601288,A股午后单边下行跌幅扩大：大金融走强，两市成交2.2万亿元,银行股盘初大幅走高后高位震荡，中信银行（601998）涨超3%，南京银行（601009）、中国银行（601988）、农业银行（601288）、工商银行（601398）、华夏银行（600015）等涨超1%。,2026-03-17 15:32:38,澎湃新闻,http://finance.eastmoney.com/a/202603173674535892.html
601288,工行发布超1200条招聘信息！2026银行春招开启抢人模式，AI和大数据岗位升温,国有大行依旧是本次春招的绝对主力军，工商银行、农业银行（601288.SH）、中国银行（601988.SH）等头部国有行均于3月中旬前集中发布2026年度春季校园招聘公告，建设银行（601939.SH）则更早于2月下旬启动远程智能银行中心社会招聘，实现校园招聘与社会招聘双轨并行。,2026-03-16 18:30:23,时代财经,http://finance.eastmoney.com/a/202603163673250270.html
601288,夯实金融支撑力量 银行资本补充迎来新方向,目前，在六家国有大型商业银行中，工商银行（601398.SH）和农业银行（601288.SH）尚未完成资本补充。业内普遍预计，此次3000亿元特别国债将主要用于这两家银行的注资。”近年来，银行业净息差持续收窄，已成为制约银行内源资本补充能力的核心因素。,2026-03-14 04:25:43,中国经营网,http://finance.eastmoney.com/a/202603143671946683.html
601288,时隔七年，中国石油重返A股“市值王”宝座,三个交易日的持续上攻令其市值水涨船高，终于超越农业银行（601288.SH），重返A股市值冠军。 上交所官网披露的主板市值排名 中国石油上一次登顶A股市值排行榜发生在2018年10月。,2026-03-04 19:12:48,澎湃新闻,http://finance.eastmoney.com/a/202603043661894166.html
601288,中国石油市值突破2.14万亿，时隔七年重夺A股市值冠军,截至3月4日收盘，中国石油（601857.SH）A股市值飙升至2.14万亿元，这一市值水平不仅刷新了中国石油近年来的市值纪录，也使其正式超越农业银行（601288.SH），成为最新A股市值冠军。,2026-03-04 17:07:31,界面新闻,http://finance.eastmoney.com/a/202603043661791198.html
601288,2.14万亿！中石油超农行夺A股市值冠军 “三桶油”涨势能否延续？,然而截至收盘，三家公司悉数上涨，中国石油由跌转涨，收报13.24元/股，上涨0.68%，按照证券指定交易日收盘价*截至日该证券的发行上市股数计算，该股A股总市值升至2.1438万亿元，正式超越农业银行（601288.SH），成为A股市值新王。,2026-03-04 18:01:34,第一财经,http://finance.eastmoney.com/a/202603043661832169.html
601288,沪指跌1.43%，深成指跌3.07%：三桶油继续集体涨停，两市成交3.1万亿元,银行股奋力护盘，重庆银行（601963）一度涨超8%，农业银行（601288）、渝农商行（601077）、交通银行（601328）、建设银行（601939）、中国银行（601988）等涨超1%。,2026-03-03 15:25:20,澎湃新闻,http://finance.eastmoney.com/a/202603033660310246.html
