trade_date,open,high,low,close,volume,amount,outstanding_share,turnover,ts_code
2023-03-20,3.08,3.13,3.08,3.1,557506630.0,1735218903.0,299284538234.0,0.0018627979690822025,601288.SH
2023-03-21,3.11,3.13,3.05,3.05,447498766.0,1374486652.0,299284538234.0,0.0014952284827026933,601288.SH
2023-03-22,3.06,3.09,3.05,3.09,293580979.0,903031349.0,299284538234.0,0.0009809426866230536,601288.SH
2023-03-23,3.08,3.1,3.07,3.1,259443039.0,801215454.0,299284538234.0,0.0008668775224102979,601288.SH
2023-03-24,3.09,3.09,3.05,3.05,293850984.0,900157336.0,299284538234.0,0.0009818448548459537,601288.SH
2023-03-27,3.05,3.08,3.02,3.05,434528031.0,1322524448.0,299284538234.0,0.0014518893410399233,601288.SH
2023-03-28,3.05,3.09,3.05,3.09,278778801.0,856846036.0,299284538234.0,0.0009314841409616447,601288.SH
2023-03-29,3.08,3.12,3.08,3.1,359316211.0,1114497880.0,299284538234.0,0.001200583943027031,601288.SH
2023-03-30,3.11,3.13,3.08,3.09,264246343.0,818427374.0,299284538234.0,0.0008829268112520906,601288.SH
2023-03-31,3.11,3.13,3.1,3.11,299611550.0,932554031.0,299284538234.0,0.0010010926450391645,601288.SH
2023-04-03,3.11,3.12,3.08,3.1,366963472.0,1135401956.0,299284538234.0,0.0012261357508321538,601288.SH
2023-04-04,3.1,3.15,3.09,3.15,426679776.0,1332738749.0,299284538234.0,0.0014256659515981883,601288.SH
2023-04-06,3.15,3.19,3.14,3.18,418326090.0,1327677953.0,299284538234.0,0.0013977537645894877,601288.SH
2023-04-07,3.19,3.19,3.15,3.17,249052400.0,788097113.0,299284538234.0,0.0008321592604469087,601288.SH
2023-04-10,3.17,3.19,3.14,3.17,353460451.0,1118639745.0,299284538234.0,0.0011810180809395565,601288.SH
2023-04-11,3.17,3.21,3.16,3.21,356700706.0,1138864460.0,299284538234.0,0.0011918447511682288,601288.SH
2023-04-12,3.21,3.26,3.2,3.23,411673090.0,1330442644.0,299284538234.0,0.0013755240829652461,601288.SH
2023-04-13,3.23,3.26,3.22,3.24,281756452.0,913971583.0,299284538234.0,0.000941433371942872,601288.SH
2023-04-14,3.25,3.26,3.23,3.23,209895593.0,679849631.0,299284538234.0,0.0007013245463281837,601288.SH
2023-04-17,3.22,3.3,3.21,3.3,424177620.0,1384073546.0,299284538234.0,0.0014173054929698724,601288.SH
2023-04-18,3.3,3.37,3.29,3.35,517150521.0,1728311882.0,299284538234.0,0.0017279560248971441,601288.SH
2023-04-19,3.36,3.4,3.34,3.37,463117054.0,1560777115.0,299284538234.0,0.0015474138982679592,601288.SH
2023-04-20,3.38,3.4,3.32,3.37,444196857.0,1489634770.0,299284538234.0,0.001484195807845904,601288.SH
2023-04-21,3.37,3.41,3.33,3.33,465976726.0,1570885160.0,299284538234.0,0.0015569689257908447,601288.SH
2023-04-24,3.34,3.38,3.33,3.36,462033303.0,1552568739.0,299284538234.0,0.0015437927589789235,601288.SH
2023-04-25,3.35,3.44,3.35,3.42,623594102.0,2122710749.0,299284538234.0,0.002083616165671859,601288.SH
2023-04-26,3.42,3.42,3.33,3.39,670934792.0,2262418204.0,299284538234.0,0.0022417957037106266,601288.SH
2023-04-27,3.39,3.44,3.38,3.42,455359201.0,1553766738.0,299284538234.0,0.0015214925692017232,601288.SH
2023-04-28,3.41,3.44,3.39,3.42,390995268.0,1336343715.0,299284538234.0,0.0013064332367691332,601288.SH
2023-05-04,3.41,3.6,3.4,3.58,748326071.0,2634857143.0,299284538234.0,0.002500383332248558,601288.SH
2023-05-05,3.59,3.71,3.58,3.62,711930769.0,2592118181.0,299284538234.0,0.002378775640067869,601288.SH
2023-05-08,3.64,3.93,3.62,3.89,1179848402.0,4488097555.0,299284538234.0,0.003942229722129909,601288.SH
2023-05-09,3.92,3.97,3.79,3.83,1117140060.0,4318860344.0,299284538234.0,0.0037327022190720314,601288.SH
